producto_id,name,categoria_id,subcategoria_id,age_group,genero,tipo_tela,color,estilo,fit,uso,descripcion,tags,marca_id,price,proveedor_id
39,Camiseta deportiva negra ajustada de Champion,1,1,adulto joven,hombre,poliester,negro,sport,slim,gym,"La camiseta deportiva negra ajustada de Champion es ideal para tus sesiones de entrenamiento en el gimnasio. Confeccionada en poliéster transpirable, esta camiseta te mantendrá fresco y seco durante tus rutinas más intensas. Además, cuenta con un diseño minimalista y elegante que te permitirá lucirte en cualquier ocasión, ya sea en el gym o en la calle. La camiseta también tiene un pequeño logotipo de Champion en el pecho y una banda lateral con un estampado de rayas finas que le da un toque deportivo y moderno.","['camiseta deportiva', 'ropa para hombre', 'negro', 'ajustada', 'poliéster', 'gym', 'entrenamiento', 'running', 'ciclismo', 'Champion', 'moda urbana', 'ropa para adultos jóvenes', 'estilo deportivo']",10,21.0,9
40,Camisa Linen Slim Fit para Hombre,1,2,juvenil,hombre,lino,blanco,business casual,slim,daily,"La Camisa Linen Slim Fit para Hombre es una excelente opción para aquellos que buscan una prenda cómoda y elegante para su vida diaria. Confeccionada en tejido de lino de alta calidad, esta camisa cuenta con un estilo business casual que la hace perfecta para el trabajo o para una salida con amigos. Su diseño slim fit y cuello alto le dan un toque de sofisticación, mientras que los estampados sutiles en tonos claros le aportan un toque de personalidad. Además, su color blanco puro la hace versátil y fácil de combinar con cualquier pantalón o short.","['camisas blancas', 'ropa juvenil', 'estilo business casual', 'tejido de lino', 'tallas slim', 'prendas para diario', 'moda masculina', 'Banana Republic', 'camisas con cuello alto', 'vestimenta para trabajo', 'ropa comoda', 'estampados sutiles', 'conjuntos para primavera']",6,135.0,8
41,Jogger Deportiva Beige Oversize Mujer,2,14,adulto mayor,mujer,fleece,beige,sport,oversize,casual,"La jogger deportiva Beige Oversize Mujer de Adidas es perfecta para mujeres activas que buscan comodidad y estilo en su ropa deportiva. Confeccionada en fleece suave y cálido, estas joggers ofrecen un ajuste oversize relajado y una libertad de movimiento total. Además, cuentan con detalles como bolsillos laterales para llevar tus pertenencias personales y un cinturón ajustable para un ajuste personalizado. Son ideales para practicar deportes al aire libre, como caminar o correr, o simplemente para un día casual en la ciudad.","['Ropa deportiva', 'Joggers mujer', 'Pantalones beige', 'Fleece suave', 'Ropa casual', 'Moda urbana', 'Adidas mujer', 'Prendas oversize', 'Deportes al aire libre', 'Ropa para caminar', 'Pantalones sport', 'Mujer activa', 'Ropa para entrenar']",2,92.0,4
42,Pantalones de cargo blancos de estilo aventurero,2,16,adulto joven,mujer,algodon,blanco,utility,regular,outdoor,"Estos pantalones de cargo blancos de ASOS son perfectos para una aventura al aire libre, ya sea un paseo por la montaña o un día en la ciudad. Con su estilo utility y ajuste regular, te brindan la comodidad y la libertad de movimiento que necesitas. Además, cuenta con bolsillos laterales para llevar tus pertenencias esenciales, como el teléfono y las llaves, y una cintura elástica para un ajuste personalizado. Son ideales para una mujer joven que busca una prenda versátil y práctica para su día a día.","['Ropa de mujer', 'Pantalones cargo', 'Algodón', 'Blanco', 'Estilo utility', 'Ajuste regular', 'Para actividades al aire libre', 'Moda urbana', 'Ropa casual', 'Pantalones de aventura', 'Mujer joven', 'ASOS', '53 dolares', 'Pantalones cómodos']",1,53.0,3
43,Vaqueros Slim Negros CK para Niños,2,13,niño,unisex,denim,negro,casual,slim,casual,"Estos vaqueros slim negros de Calvin Klein son perfectos para niños que buscan un estilo casual y cómodo. Confeccionados con denim de alta calidad, estos pantalones tienen un ajuste slim que se adapta a la perfección a cualquier silueta. Además, cuentan con bolsillos laterales y un cinturón ajustable para un ajuste perfecto. Ideal para un día en el parque o una salida con amigos, estos vaqueros son una excelente opción para cualquier ocasión.","['Vaqueros ajustados', 'Ropa de niño', 'Moda urbana', 'Denim de calidad', 'Negro intenso', 'Estilo casual', 'Slim fit', 'Unisex', 'Ropa para niños', 'Calvin Klein', 'Jeans para niños', 'Prendas básicas', 'Ropa para todos los días']",8,65.0,3
44,Pantalones de running Adidas Slim Fit Beige,2,22,juvenil,mujer,spandex,beige,streetwear,slim,running,"Estos pantalones de running Adidas son ideales para mujeres juveniles que buscan combinar estilo y comodidad. Con su ajuste slim fit y fabricado en spandex, proporcionan una gran libertad de movimiento y flexibilidad. Además, su color beige claro les da un toque elegante y versátil, perfecto para combinar con cualquier parte superior. Son perfectos para entrenamientos ligeros o sesiones de running intensas, ya que tienen un diseño transpirable y secado rápido que mantiene la piel seca y fresca.","['pantalones deportivos', 'ropa de running', 'mujer juvenil', 'streetwear', 'slim fit', 'spandex', 'beige claro', 'comodidad', 'performance', 'Adidas originals', 'moda urbana', 'running ligero', 'entrenamiento']",2,81.0,8
45,Falda casual café con vuelo,2,19,adulto joven,mujer,algodon,cafe,casual,slim,daily,"Esta falda casual de color café es perfecta para un look relajado y natural. Confeccionada en algodón suave, esta falda slim es ideal para mujeres jóvenes que buscan una prenda cómoda y versátil para su día a día. La falda tiene un vuelo ligero y un corte recto que la hace perfecta para combinar con una camiseta básica y un par de zapatillas deportivas para un look urbano y moderno.","['falda slim', 'ropa casual', 'mujer joven', 'algodón suave', 'color café', 'estilo relajado', 'para diario', 'moda urbana', 'H&M', 'precio asequible', 'falda ligera', 'perfecta para primavera', 'look natural']",19,19.0,3
46,Camiseta amarilla slim fit para niñas,1,10,niño,mujer,algodon,amarillo,minimalist,slim,daily,"La camiseta amarilla slim fit para niñas es perfecta para un día soleado en el parque o para una tarde jugando con amigas. Con su estilo minimalista y su ajuste slim, esta camiseta es ideal para las niñas que buscan una prenda cómoda y elegante. La camiseta cuenta con un estampado de pequeñas flores blancas que le dan un toque femenino y divertido, y su tejido de algodón suave garantiza una comodidad total durante todo el día. Además, su cuello en v forma le da un toque especial y moderno.","['camisetas para niñas', 'moda urbana', 'amarillo brillante', 'algodón suave', 'estilo minimalista', 'ajuste slim', 'para usar diario', 'verano', 'primavera', 'niñas fashion', 'ropa para niñas Gap', 'camisetas v neck', 'moda para niños']",17,25.0,10
47,Joggers Negro Slim para Hombre,2,14,adulto mayor,hombre,poliester,negro,casual,slim,casual,"Estos joggers negros slim para hombre son ideales para un look casual y deportivo. Hechos de poliester, son suaves y cómodos, perfectos para correr, entrenar o simplemente para un día relajado. Con su ajuste slim, se adaptan perfectamente a la forma del cuerpo, y su color negro es versátil y fácil de combinar con cualquier prenda. Además, cuentan con bolsillos laterales para llevar tus pertenencias personales de manera práctica.","['Pantalones deportivos', 'Ropa casual', 'Hombre mayor', 'Poliester', 'Negro', 'Slim fit', 'Comodidad', 'Ropa para correr', 'Ropa para entrenar', 'Moda urbana', 'H&M', 'Barato', 'Calidad']",19,19.0,2
48,Camisa Morada Casual de Rayón para Oficina,1,2,adulto joven,mujer,rayon,morado,casual,slim,office,"La camisa morada casual de rayón para oficina de Tommy Hilfiger es perfecta para un look relajado y elegante en el trabajo. Con un estilo casual y un ajuste slim, esta camisa es ideal para mujeres jóvenes que buscan una prenda cómoda y versátil. La camisa cuenta con un estampado de flores sutiles en tonos pastel que añaden un toque de feminidad y frescura, y su tejido de rayón la hace fresca y transpirable, perfecta para días calurosos en la oficina.","['camisas casual', 'mujer', 'adulto joven', 'oficina', 'Tommy Hilfiger', 'rayón', 'morado', 'estilo relajado', 'ajuste slim', 'para trabajo', 'ropa de mujer', 'moda urbana', 'verano']",33,136.0,9
49,Camisa Slim de Lino Celeste para Oficina,1,2,adulto joven,unisex,lino,celeste,casual,slim,office,"La Camisa Slim de Lino Celeste para Oficina es una excelente opción para aquellos que buscan un estilo casual y elegante para el trabajo. Confeccionada en lino fresco y de color celeste claro, esta camisa cuenta con un estampado de rayas finas que le da un toque de sofisticación. Además, su corte slim fit se ajusta perfectamente al cuerpo, lo que la hace ideal para combinar con pantalones o faldas en el trabajo. La marca Banana Republic garantiza la calidad y el estilo de esta camisa, que es perfecta para cualquier ocasión en la oficina.","['camisa casual', 'lino fresco', 'celeste claro', 'estilo oficina', 'unisex', 'adulto joven', 'slim fit', ' Banana Republic', 'ropa de trabajo', 'verano', 'primavera', 'invierno ligero', 'outfit elegante']",6,134.0,2
50,Vaqueros Beige Slim Fit para Mujer,2,13,adulto mayor,mujer,denim,beige,casual,slim,casual,"Estos vaqueros beige slim fit de la marca Lee son perfectos para una mujer adulta mayor que busca una prenda cómoda y versátil. Con su tejido de denim de alta calidad y su corte ajustado, son ideales para un día relajado en la ciudad o una noche con amigos. Además, su color beige claro los hace muy fáciles de combinar con blusas y chaquetas de colores vivos, y su precio de 48 euros los hace muy asequibles. Estos pantalones también tienen detalles como bolsillos laterales y un cinturón ajustable para un ajuste perfecto.","['Vaqueros mujer', 'Beige', 'Slim fit', 'Ropa casual', 'Denim', 'Adulto mayor', 'Moda urbana', 'Pantalones mujer', 'Lee', '48 euros', 'Ropa de mujer', 'Estilo relajado', 'Pantalones beige']",23,48.0,5
51,Camiseta Oversize Café con Estampado Minimalista,1,1,adulto joven,unisex,rayon,cafe,minimalist,oversize,daily,"La camiseta oversize café con estampado minimalista es perfecta para un look casual y relajado. Confeccionada con tejido de rayón suave y cómodo, esta camiseta unisex es ideal para jóvenes que buscan una prenda versátil y fácil de combinar. El estampado minimalista y el color café con leche le dan un toque elegante y sofisticado, mientras que la talla oversize proporciona una comodidad extra. Puedes combinarla con unos jeans ajustados y unas zapatillas para un look urbano y moderno.","['camiseta unisex', 'ropa casual', 'estampado minimalista', 'café con leche', 'tejido de rayón', 'talla oversize', 'para jóvenes', 'moda urbana', 'daily wear', 'Supreme quality', 'camisetas cómodas', 'tendencias actuales', 'outfit básico']",32,112.0,3
52,Tanque de verano rosado para caballero,1,3,adulto mayor,hombre,algodon,rosado,casual,regular,summer,"Esta tanque de verano rosado para caballero es perfecta para mantenerse fresco y cómodo durante los días calurosos. Confeccionada en algodón transpirable, esta camiseta de Adidas cuenta con un diseño casual y un toque de estilo con su color rosado pastel. Además, presenta un estampado de rayas finas en la parte inferior, lo que le da un toque de personalidad y frescura. Ideal para actividades al aire libre, como correr, hacer senderismo o simplemente disfrutar del sol en el parque.","['Ropa de verano', 'Camisetas para hombre', 'Algodón transpirable', 'Rosado pastel', 'Estilo casual', 'Verano caluroso', 'Ropa deportiva', 'Adidas original', 'Tops para adulto mayor', 'Moda urbana', 'Comoda y fresca', 'Para días soleados', 'Talle regular']",2,35.0,9
53,Falda beige otoñal de lana,2,19,adulto joven,mujer,lana,beige,streetwear,regular,daily,"Esta falda beige de lana es perfecta para el otoño, con un estilo streetwear que se adapta a cualquier ocasión diaria. La lana suave y cálida te mantendrá abrigada en los días frescos, y el corte regular te dará una silueta femenina y elegante. Puedes combinarla con una camiseta blanca y botas negras para un look casual y chic, o con un suéter grueso y una chaqueta de cuero para un estilo más urbano y atrevido.","['falda streetwear', 'moda urbana', 'ropa para mujer', 'lana beige', 'estilo casual', 'dia a dia', 'outfit otoñal', 'Free People', 'ropa para adulto joven', 'falda regular', 'moda joven', 'tendencias actuales']",16,75.0,8
54,Sutra Verde Intenso,1,12,adulto mayor,mujer,spandex,verde,sport,compression,gym,"La Sutra Verde Intenso es un sujetador deportivo de compresión diseñado para mujeres adultas mayores que buscan un rendimiento óptimo en sus sesiones de entrenamiento. Confeccionado con spandex de alta calidad, ofrece una comodidad y flexibilidad únicas, permitiendo un movimiento libre y natural. Además, cuenta con un diseño aerodinámico y un corte ajustado que proporciona un soporte y estabilidad excepcionales, lo que la hace ideal para actividades como el running, el yoga o el entrenamiento de fuerza en el gimnasio.","['Deportiva', 'Bra de compresión', 'Ropa de running', 'Verde intenso', 'Spandex', 'Lululemon', 'Mujer', 'Adulto mayor', 'Gimnasio', 'Yoga', 'Fitness', 'Moda deportiva', 'Ropa de alta calidad']",25,72.0,5
55,Shorts de denim blancos ajustados para entrenar,2,15,adulto joven,unisex,denim,blanco,casual,slim,gym,"Estos shorts de denim blanco son ideales para entrenar en el gimnasio o correr por la ciudad. Con su ajuste slim y estilo casual, te brindan la comodidad y el estilo que necesitas para mantener tu rutina deportiva. Además, tienen un pequeño bolsillo lateral para guardar tus llaves o teléfono, y un diseño minimalista que los hace versátiles para combinar con cualquier parte superior. Son una excelente opción para aquellos que buscan ropa deportiva de alta calidad y estilo urbano.","['Ropa deportiva', 'Shorts de verano', 'Denim blanco', 'Estilo casual', 'Ajuste slim', 'Para entrenar', 'Ropa unisex', 'Moda joven', 'Zara original', 'Prendas para gimnasio', 'Shorts para correr', 'Ropa cómoda', 'Prendas deportivas']",37,31.0,3
56,Pantalones de vestir beige elegantes para juventud,2,17,juvenil,mujer,poliester,beige,business casual,slim,office,"Estos pantalones de vestir beige son ideales para la juventud que busca un estilo empresarial con un toque de elegancia. Confeccionados con poliéster suave y un corte slim, son perfectos para un día en la oficina. Además, cuentan con detalles como bolsillos laterales y una cintura ajustable para un ajuste cómodo. Su estilo business casual los hace versátiles para combinar con blusas y chaquetas de acuerdo a la ocasión.","['Pantalones de vestir', 'Beige claro', 'Mujer juvenil', 'Oficina', 'Estilo empresarial', 'Slim fit', 'Poliéster suave', 'Ropa de trabajo', 'Elegancia diaria', 'Brooks Brothers', 'Moda urbana', 'Business casual']",7,220.0,9
57,Pantalones de cargo Stussy para niña aventurera,2,16,niño,mujer,algodon,cafe,casual,regular,outdoor,"Estos pantalones de cargo Stussy para niña son ideales para cualquier aventura al aire libre. Con su tela de algodón suave y transpirable, y su color café versátil, pueden ser combinados con cualquier parte superior para crear un look casual y cómodo. Además, cuentan con múltiples bolsillos para llevar todos tus utensilios y accesorios esenciales, como un teléfono, una cámara o un snack. Son perfectos para un día de senderismo, una jornada en la escuela o simplemente para disfrutar del parque con amigos.","['pantalones de cargo', 'ropa para niñas', 'algodón', 'color café', 'estilo casual', 'ajuste regular', 'uso al aire libre', 'para senderismo', 'para escuela', 'para actividades deportivas', 'moda urbana', 'Stussy', 'calidad garantizada']",31,143.0,1
58,Pantalones cargo juveniles gris oscuro con bolsillos practicos,2,16,juvenil,unisex,algodon,gris,utility,regular,casual,"Estos pantalones cargo de color gris oscuro son ideales para el diario de cualquier joven. Confeccionados en algodon transpirable y un estilo utility que los hace perfectos para actividades al aire libre, cuentan con bolsillos amplios y practicos para llevar todos tus objetos personales. Además, su cintura ajustable y su tejido suave los hacen muy comodos de usar, ideal para un dia en la escuela o para salir con amigos.","['pantalones cargo', 'moda juvenil', 'ropa unisex', 'algodon transpirable', 'estilo utility', 'colores neutros', 'pantalones para diario', 'bolsillos amplios', 'cintura ajustable', 'tejido suave', 'fashion casual', 'ropa para adolescentes', 'pantalones para escuela']",19,28.0,4
59,Camiseta azul v-neck minimalista para adulto mayor,1,10,adulto mayor,unisex,algodon,azul,minimalist,slim,casual,"Esta camiseta azul v-neck es perfecta para un look casual y fresco en verano. Confeccionada en suave tejido de algodón, cuenta con un diseño minimalista que la hace ideal para combinar con shorts o pantalones. La silueta ajustada y el cuello en v-neck le dan un toque elegante a esta prenda básica, mientras que el color azul claro la hace perfecta para un día soleado. Además, cuenta con un pequeño estampado de rayas blancas en el pecho, lo que le añade un toque de personalidad a este clásico diseño.","['camisetas casuales', 'ropa para adultos mayores', 'estilo minimalista', 'tejido de algodón', 'azul claro', 'v-neck', ' ajuste slim', 'moda unisex', 'prenda básica', 'outfit casual', 'verano', 'ocio']",1,23.0,10
60,Blazer Azul Noche de Armani,1,6,adulto joven,mujer,poliester,azul,luxury,tailored,formal events,"El Blazer Azul Noche de Armani es una prenda exclusiva diseñada para mujeres jóvenes que buscan lucir elegantes y sofisticadas en eventos formales. Confeccionado en poliéster de alta calidad, este blazer presenta un estilo luxury con un toque moderno y un corte tailoreado que realza la figura femenina. Su color azul intenso es perfecto para combinar con un vestido o una falda y crear un look impresionante, mientras que los detalles como los botones dorados y el forro de seda adds un toque de glamour a esta prenda única.","['Blazer de mujer', 'Ropa formal', 'Azul intenso', 'Poliéster de alta calidad', 'Diseño italiano', 'Luxury fashion', 'Trajes de noche', 'Moda elegante', 'Armani mujer', 'Prendas tailores', 'Eventos especiales', 'Ropa de gala', 'Estilo sofisticado', 'Clásico con toque moderno']",5,965.0,5
61,Falda Celeste Libre,2,19,adulto mayor,mujer,algodon,celeste,streetwear,regular,office,"La Falda Celeste Libre de Free People es una prenda perfecta para cualquier mujer mayor que busque combinar comodidad y estilo en su vestuario de trabajo. Confeccionada en algodón suave y ligero, esta falda streetwear tiene un estilo urbano y un corte regular que favorece a cualquier figura. Además, su color celeste claro es ideal para cualquier época del año, ya sea en invierno o verano, y se puede combinar con una variedad de blusas y accesorios para crear un look único y personalizado.","['Falda streetwear', 'Ropa para oficina', 'Mujer mayor', 'Algodón suave', 'Color celeste claro', 'Estilo urbano', 'Regular fit', 'Free People', 'Moda cómoda', 'Vestuario de trabajo', 'Prenda básica', 'Invierno y verano']",16,87.0,2
62,Pantalones de running Nike gris oscuro slim fit,2,22,juvenil,unisex,poliester,gris,streetwear,slim,running,"Estos pantalones de running de Nike son perfectos para aquellos que buscan combinar estilo y comodidad. Con su diseño slim fit y su tela de poliester resistente, te permiten moverte con libertad y seguridad. Además, su color gris oscuro es ideal para combinar con cualquier parte superior, y su estilo streetwear te dará un toque de frescura y modernidad. Los pantalones también cuentan con refuerzos en las rodillas y un cinturón ajustable para un ajuste personalizado.","['pantalones deportivos', 'running', 'streetwear', 'juvenil', 'unisex', 'poliester', 'gris oscuro', 'slim fit', 'moda urbana', 'ropa para correr', 'calidad Nike', 'estilo casual', 'comodo y ligero']",27,74.0,6
63,Top Azul Slim de Verano para Juvenil,1,3,juvenil,unisex,poliester,azul,casual,slim,summer,"Este top azul slim de verano es perfecto para los días calurosos, con un diseño casual y fresco que te hará sentir cómodo y relajado. Está confeccionado con poliéster transpirable para mantener tu piel seca y fresca, y su estilo unisex lo hace ideal para cualquier juvenil que busque una prenda versátil y cómoda. Además, cuenta con un estampado de rayas finas en el pecho que le da un toque de personalidad y estilo.","['ropa juvenil', 'camisetas slim', 'tops de verano', 'azul claro', 'poliéster transpirable', 'moda urbana', 'estilo casual', 'unisex', 'Champion original', 'verano fresco', 'tank tops', 'moda joven']",10,21.0,8
64,Pantalones de deporte gris oversize Nike para niños,2,20,niño,unisex,algodon,gris,cozy,oversize,home,"Estos pantalones de deporte gris oversize de Nike son ideales para un día relajado en casa con los amigos o para una sesión de entrenamiento intensa. Hechos de algodón suave y transpirable, te brindan la comodidad que necesitas para moverte con libertad. Con su diseño oversize y su color gris oscuro, son perfectos para combinar con cualquier parte superior de tu armario. Además, cuentan con detalles como cintura elástica y bolsillos laterales para guardar tus cosas.","['Ropa deportiva', 'Pantalones de algodón', 'Gris oscuro', 'Moda urbana', 'Ropa para niños', 'Unisex', 'Pantalones anchos', 'Comodidad', 'Ropa para casa', 'Nike', 'Deporte', 'Moda casual', 'Invierno']",27,94.0,4
65,Vaqueros blancos Baggy para adultos mayores,2,13,adulto mayor,unisex,denim,blanco,casual,baggy,daily,"Estos vaqueros blancos baggy de Zara son perfectos para un look relajado y cómodo. Hechos de tela de denim de alta calidad, son ideales para el verano y pueden ser combinados con una variedad de prendas superiores para crear un outfit único. Con su estilo casual y su ajuste suelto, son perfectos para adultos mayores que buscan una ropa práctica y versátil. Además, su color blanco los hace ideales para complementar con estampados o colores vibrantes, permitiendo crear un look personalizado y divertido.","['Vaqueros blancos', 'Ropa de diario', 'Estilo casual', 'Tela de denim', 'Pantalones cómodos', 'Moda urbana', 'Ropa para adultos mayores', 'Prendas básicas', 'Outfit relajado', 'Pantalones de verano', 'Vaqueros sueltos', 'Ropa para todos los días']",37,50.0,9
66,Camisa Henley de Rayón Blanco para Hombre,1,9,adulto mayor,hombre,rayon,blanco,casual,regular,daily,"La Camisa Henley de Rayón Blanco para Hombre es una prenda básica y versátil que se adapta a cualquier ocasión. Confeccionada con un tejido de rayón suave y transpirable, esta camisa cuenta con un estilo casual y un ajuste regular que la hace perfecta para el diario. Además, su color blanco puro la hace ideal para combinar con pantalones o shorts de cualquier color, y su cuello henley le da un toque de elegancia. La camisa también cuenta con un pequeño estampado de rayas finas en la parte delantera, lo que la hace aún más atractiva y única.","['camisetas casuales', 'moda para adultos mayores', 'ropa de diario', 'estilo relajado', 'tejido de rayón', 'color blanco', 'ajuste regular', 'marca Gap', 'prenda básica', 'verano', 'invierno', 'primavera', 'otono']",17,45.0,6
67,Pantalones de vestir verdes para señoras de distinción,2,17,adulto mayor,mujer,poliester,verde,business casual,tailored,formal events,"Estos pantalones de vestir verdes para señoras de distinción son perfectos para cualquier evento formal, ya sea un encuentro de negocios o una cena de gala. Confeccionados en poliéster resistente y con un corte ajustado que realza la figura, estos pantalones son una excelente opción para cualquier mujer mayor que busque combinar estilo y comodidad. Además, el color verde esmeralda es ideal para cualquier época del año y se puede combinar con una variedad de colores y estilos, desde un blazer clásico hasta un top moderno y atrevido.","['Pantalones de vestir', 'Verde esmeralda', 'Mujer mayor', 'Ralph Lauren', 'Poliéster resistente', 'Corte ajustado', 'Eventos formales', 'Negocios y elegancia', 'Pantalones para trabajo', 'Verano e invierno', 'Clásico y sofisticado', 'Pantalones cómodos']",30,149.0,2
68,Camisa deportiva celeste streetwear para mujer,1,1,adulto mayor,mujer,poliester,celeste,streetwear,slim,gym,"La camisa deportiva celeste de Champion es perfecta para mujeres mayores que buscan una prenda cómoda y versátil para sus sesiones de entrenamiento en el gimnasio. Con su tejido de poliéster transpirable y su estilo streetwear, esta camisa es ideal para mantenerse fresca y cómoda durante las actividades físicas. Además, su diseño slim fit y su color celeste suave la hacen perfecta para combinar con leggings o shorts para un look deportivo y casual. La camisa también cuenta con un discreto estampado de rayas en el pecho, lo que le da un toque de estilo y personalidad.","['Moda urbana', 'Ropa deportiva', 'Mujer mayor', 'Streetwear femenino', 'Poliéster transpirable', 'Colores pastel', 'Slim fit', 'Gimnasio', 'Entrenamiento', 'Deportes', 'Champion calidad', 'Estilo casual', 'Verano']",10,44.0,3
69,Vaqueros Celestes Relajados,2,13,adulto joven,hombre,denim,celeste,casual,regular,casual,"Estos vaqueros celestes relajados son perfectos para un día casual en la ciudad. Confeccionados con denim fresco y de alta calidad, ofrecen un ajuste regular y una comodidad sin igual. El color celeste pastel les da un toque de frescura y estilo, ideal para combinar con camisetas blancas o negras y un par de zapatillas deportivas. Además, cuenta con detalles como bolsillos laterales y una cintura elástica para un ajuste perfecto.","['Vaqueros de moda', 'Ropa casual', 'Denim fresco', 'Colores pastel', 'Moda urbana', 'Ropa para hombre', 'Estilo relajado', 'Vaqueros ajustados', 'Prendas de verano', 'Ropa cómoda', 'Tendencias actuales', 'Zara original']",37,73.0,10
70,Pantalones de vestir gris lana para caballeros,2,17,adulto mayor,hombre,lana,gris,formal,tailored,office,"Estos pantalones de vestir gris de lana son ideales para el caballero que busca un look elegante y sofisticado para su día a día en la oficina. Con su talle ajustado y su estilo clásico, se ajustan perfectamente a cualquier cuerpo y ofrecen una sensación de comodidad y frescura gracias a la lana de alta calidad con la que están fabricados. Además, cuentan con detalles como una costura lateral y un bolsillo trasero con cremallera, lo que los hace aún más prácticos y versátiles.","['Pantalones de lana', 'Ropa formal', 'Para oficina', 'Hombre mayor', 'Estilo clásico', 'Talle ajustado', 'Color gris', 'Fabricado en lana', 'Ropa de invierno', 'Banana Republic', 'Calidad premium', 'Elegancia masculina']",6,91.0,10
71,Pantalones de entrenamiento verde oversize Carhartt,2,20,niño,hombre,algodon,verde,casual,oversize,gym,"Los pantalones de entrenamiento verde oversize Carhartt son ideales para los niños que aman el deporte y la aventura. Con su tejido de algodón transpirable y su diseño casual, estos pantalones son perfectos para una sesión de entrenamiento en el gimnasio o para una salida al aire libre con amigos. Además, su talle oversize y su color verde militar los hacen muy cómodos y versátiles, permitiendo que se puedan combinar con una variedad de prendas y accesorios. Con su calidad y durabilidad característica de la marca Carhartt, estos pantalones son una excelente opción para cualquier niño que busque una prenda deportiva confiable y cómoda.","['pantalones de deporte', 'ropa para gimnasio', 'algodón transpirable', 'estilo casual', 'talle oversize', 'verde militar', 'ropa para niños', 'prendas de entrenamiento', 'moda urbana', 'carhartt auténtico', 'pantalones cómodos', 'para actividades al aire libre']",9,119.0,1
72,Camiseta deportiva amarilla con diseño dinámico,1,1,juvenil,hombre,spandex,amarillo,sport,regular,gym,"La camiseta deportiva amarilla con diseño dinámico es ideal para tus sesiones de entrenamiento en el gimnasio. Confeccionada con spandex, ofrece una gran comodidad y flexibilidad, permitiéndote moverte con libertad. El estampado de rayas horizontales en el pecho y la espalda le da un toque de estilo y personalidad, mientras que el cuello redondo y la manga corta garantizan una gran ventilación y transpiración.","['camiseta de entrenamiento', 'ropa deportiva', 'hombre', 'juvenil', 'amarillo', 'spandex', 'sport', 'gym', 'Champion', 'regular fit', 'diseño deportivo', 'estampado de rayas', 'camiseta transpirable']",10,29.0,10
73,Joggers Beige Urbanos de Adidas para Caballeros,2,14,adulto mayor,hombre,poliester,beige,streetwear,slim,casual,"Estos joggers beige urbanos de Adidas son ideales para un look casual y deportivo. Confeccionados con poliester transpirable, garantizan comodidad y frescura en cualquier época del año. La forma slim y el estilo streetwear los convierten en la opción perfecta para un día de ciudad o para una sesión de entrenamiento. Además, cuentan con un bolsillo lateral para llevar tus pertenencias de manera segura y práctica.","['Ropa deportiva', 'Streetwear', 'Moda urbana', 'Pantalones slim', 'Beige claro', 'Poliester transpirable', 'Adidas originales', 'Ropa casual', 'Verano', 'Invierno', 'Otoño', 'Primavera', 'Joggers para hombre', 'Ropa cómoda']",2,49.0,9
74,Falda Street Urbana Noche,2,19,juvenil,mujer,algodon,negro,streetwear,regular,daily,"La Falda Street Urbana Noche es el complemento perfecto para cualquier look juvenil y divertido. Confeccionada en algodón suave y resistente, esta falda negra intenso es ideal para un día en la ciudad o una noche en el pueblo. La falda tiene un corte asimétrico en la parte inferior y un pequeño bolsillo lateral para llevar tus cosas esenciales. Puedes combinarla con una camiseta blanca y zapatillas deportivas para un look relajado o con un top brillante y tacones para una noche de fiesta.","['Moda urbana', 'Ropa para mujeres jóvenes', 'Falda de algodón', 'Negro intenso', 'Streetwear chic', 'Vestido para salir', 'Ropa diaria', 'Mango estilo', 'Juvenil y divertida', 'Falda para todas las ocasiones', 'Urbana y moderna', 'Combinación perfecta']",26,50.0,9
75,Pantalones chinos azul oscuro slim fit de Ralph Lauren,2,21,juvenil,hombre,algodon,azul,smart casual,slim,daily,"Estos pantalones chinos azul oscuro slim fit de Ralph Lauren son ideales para una noche de fin de semana o para un día de trabajo. Con su tejido de algodon suave y fresco, te mantendrán cómodo durante todo el día. Además, su estilo smart casual los hace perfectos para combinar con una camisa blanca y un par de zapatos de cuero para una look elegante y relajado. Los detalles como la costura lateral y el bolsillo trasero con botón añaden un toque de sofisticación a este pantalón versátil.","['pantalones chinos', 'azul oscuro', 'slim fit', 'hombre', 'juvenil', 'moda urbana', 'smart casual', 'algodon', 'Ralph Lauren', 'pantalones para diario', 'ropa de calle', 'estilo relajado']",30,136.0,10
76,Pantalones de vestir gris lana Zara para caballero,2,17,adulto mayor,hombre,lana,gris,formal,regular,formal events,"Estos pantalones de vestir gris de lana son ideales para cualquier ocasión formal, ya sea un evento de gala o una reunión de trabajo importante. Con su corte regular y estilo clásico, ofrecen una elegancia masculina y sofisticada que nunca pasa de moda. Hechos con telas naturales de alta calidad, garantizan un confort y una durabilidad sin igual, mientras que el detalle de la costura y el diseño español de Zara le dan un toque de distinción y exclusividad. Perfectos para el hombre mayor que busca una ropa de invierno cálida y elegante.","['pantalones de lana', 'vestir formal', 'hombre mayor', 'gris oscuro', 'telas naturales', 'fiestas de gala', 'trabajo corporativo', 'ropa de invierno', 'elegancia masculina', 'clásico y sofisticado', 'diseño español', 'calidad Zara']",37,91.0,8
